X	cluster_name	size	taxa	Pfam_IDs	aa_file	na_file	taxids	Percentage_prevalence	Prevalencia_final_v1	Prevalencia_final_v2
11	88_V2	1	1		88_V2.faa	88_V2.fna	1306546	0.1953125	0.1953125	0.1953125
12	89_V3	3	3		89_V3.faa	89_V3.fna	1306546_1853865_1830242	0.5859375	0.5859375	26.76817018721833
13	136_RepA	44	44	PF00799_PF08283_	136_RepA.faa	136_RepA.fna	1306546_1476487_57119_936005_2122733_1302848_887825_463360_887827_1568974_1162557_1196237_889510_1249648_1030595_1853865_2093275_1381007_2093276_1182518_268316_2025388_1631303_497863_1196236_1072672_2162638_1830242_2022321_2012856_2012857_1302849_1302850_1919062_1868659_1492296_603333_1571533_10830_2060142_2027645_1174526_10834_2025352	8.59375	8.59375	20.362063760849054
14	93_C3	4	4		93_C3.faa	93_C3.fna	1306546_1853865_1830242_2060142	0.78125	0.78125	28.78001451793074
15	108_av2	47	47	PF01524_	108_av2.faa	108_av2.fna	337826_1611435_223260_1960710_333968_223264_263793_653358_543876_390437_390444_325111_676044_223287_33726_163654_2093274_935473_529680_1884991_420255_379728_761701_1432565_688540_693892_652718_1198219_225752_1489312_1489311_574890_994388_1392388_2026196_2026195_999288_652717_940846_100755_1513529_1513528_634441_1881630_667119_1925153_1170656	9.1796875	9.1796875	9.1796875
16	119_V2	4	4		119_V2.faa	119_V2.fna	1633752_1906317_2093273_1949198	0.78125	0.78125	0.78125
17	120_V1	2	2		120_V1.faa	120_V1.fna	1633752_1949198	0.390625	0.390625	0.390625
18	133_movement_protein	28	28	PF01708_	133_movement_protein.faa	133_movement_protein.fna	1476487_57119_1302848_887825_463360_887827_1568974_1162557_10837_1249648_1182518_268316_2025388_497863_2012856_2012857_1302849_1302850_1919062_268785_78395_1868659_1492296_603333_1571533_10830_1174526_10834	5.46875	5.46875	33.70968259705084
19	169_orf6	1	1		169_orf6.faa	169_orf6.fna	220340	0.1953125	0.1953125	0.1953125
20	171_orf7	30	30	PF04807_	171_orf7.faa	171_orf7.fna	220340_591160_587620_658650_908028_120168_1297645_2050584_1428190_1779714_1904881_2021666_1906668_223287_33726_1602199_529680_1884991_1904882_223318_191460_191463_761702_1899219_693894_341035_2021667_1266458_1391746_667119	5.859375	5.859375	5.859375
21	194_V3	8	8	PF07436_	194_V3.faa	194_V3.fna	391228_10840_2093275_46448_2093276_1987360_945225_873160	1.5625	1.5625	29.768485466801145
22	195_V2	8	8	PF07325_	195_V2.faa	195_V2.fna	391228_10840_2093275_46448_2093276_1987360_945225_873160	1.5625	1.5625	29.61964480901619
23	197_C2	12	12		197_C2.faa	197_C2.fna	391228_10820_1202142_10837_1381007_268776_2022321_945225_1919062_268785_78395_2025352	2.34375	2.34375	28.277679634045292
24	242_AV3	3	3		242_AV3.faa	242_AV3.fna	1513489_1547577_223347	0.5859375	0.5859375	0.5859375
25	267_movement_protein	7	6		267_movement_protein.faa	267_movement_protein.fna	936005_10820_10820_1196237_889510_1196236_1072672	1.171875	1.171875	1.171875
26	285_hypothetical_protein	1	1		285_hypothetical_protein.faa	285_hypothetical_protein.fna	2122733	0.1953125	0.1953125	0.1953125
27	286_hypothetical_protein	3	3		286_hypothetical_protein.faa	286_hypothetical_protein.fna	2122733_1202142_2162638	0.5859375	0.5859375	0.5859375
28	322_AC5	5	5		322_AC5.faa	322_AC5.fna	1032478_1428190_31600_913600_1198134	0.9765625	0.9765625	0.9765625
29	385_AC1	2	2	PF01492_	385_AC1.faa	385_AC1.fna	858516_1340746	0.390625	0.390625	0.390625
30	485_AC1	1	1	PF08283_	485_AC1.faa	485_AC1.fna	1297645	0.1953125	0.1953125	21.621493697197494
31	547_C5	15	15	PF04807_PF08464_	547_C5.faa	547_C5.fna	53010_62079_31600_207240_223303_1225069_408136_269275_2049944_223347_526476_420254_938276_134599_367061	2.9296875	2.9296875	2.9296875
32	575_AC5	13	13	PF08464_	575_AC5.faa	575_AC5.fna	207697_269095_1383052_508750_1333313_508748_53260_435646_761702_85753_693894_575917_85752	2.5390625	2.5390625	2.5390625
33	676_AC4	1	1		676_AC4.faa	676_AC4.fna	223262	0.1953125	0.1953125	0.1953125
34	729_movement_protein	2	2		729_movement_protein.faa	729_movement_protein.fna	1030595_268776	0.390625	0.390625	0.390625
35	776_V2	1	1		776_V2.faa	776_V2.fna	1853865	0.1953125	0.1953125	29.39691318957159
36	848_V2_protein	3	3		848_V2_protein.faa	848_V2_protein.fna	1381007_2022321_2025352	0.5859375	0.5859375	23.305783421125582
37	850_V3_protein	3	3		850_V3_protein.faa	850_V3_protein.fna	1381007_2022321_2025352	0.5859375	0.5859375	26.249218047896083
38	853_C3_protein	3	3		853_C3_protein.faa	853_C3_protein.fna	1381007_2022321_2025352	0.5859375	0.5859375	25.76469235032966
39	858_AV3_protein	2	2		858_AV3_protein.faa	858_AV3_protein.fna	1428190_85753	0.390625	0.390625	0.390625
40	911_C4	5	5		911_C4.faa	911_C4.fna	240865_543876_875323_1432565_35341	0.9765625	0.9765625	31.885363508255377
41	923_C2	2	2		923_C2.faa	923_C2.fna	46448_873160	0.390625	0.390625	0.390625
42	939_C2	6	6		939_C2.faa	939_C2.fna	653358_693892_225752_999288_652717_1513528	1.171875	1.171875	1.171875
43	1197_REn	1	1		1197_REn.faa	1197_REn.fna	376612	0.1953125	0.1953125	24.613979794423187
44	1307_hypothetical_protein	1	1		1307_hypothetical_protein.faa	1307_hypothetical_protein.fna	268776	0.1953125	0.1953125	0.1953125
45	1312_V3_protein	1	1		1312_V3_protein.faa	1312_V3_protein.fna	1631303	0.1953125	0.1953125	0.1953125
46	1313_V2_protein	1	1		1313_V2_protein.faa	1313_V2_protein.fna	1631303	0.1953125	0.1953125	0.1953125
47	1329_1R2b	1	1		1329_1R2b.faa	1329_1R2b.fna	33726	0.1953125	0.1953125	0.1953125
48	1331_AL5	1	1		1331_AL5.faa	1331_AL5.fna	33726	0.1953125	0.1953125	0.1953125
49	1336_capsid	1	1		1336_capsid.faa	1336_capsid.fna	1229325	0.1953125	0.1953125	0.1953125
50	1337_putative_movement_pr..	1	1		1337_putative_movement_pr...faa	1337_putative_movement_pr...fna	1229325	0.1953125	0.1953125	0.1953125
51	1338_putative_replication..	1	1		1338_putative_replication...faa	1338_putative_replication...fna	1229325	0.1953125	0.1953125	0.1953125
52	1339_Rep	2	2	PF00799_	1339_Rep.faa	1339_Rep.fna	1229325_420255	0.390625	0.390625	6.914908471744068
53	1375_V2	2	2	PF00844_	1375_V2.faa	1375_V2.fna	163654_693894	0.390625	0.390625	29.343140514351322
54	1445_hypothetical_protein	1	1		1445_hypothetical_protein.faa	1445_hypothetical_protein.fna	2162638	0.1953125	0.1953125	0.1953125
55	1683_AC5	1	1		1683_AC5.faa	1683_AC5.fna	935473	0.1953125	0.1953125	0.1953125
56	2062_BV1	1	1	PF00844_PF00844_	2062_BV1.faa	2062_BV1.fna	269277	0.1953125	0.1953125	14.009757752602237
57	2123_truncated_V2	1	1	PF01524_	2123_truncated_V2.faa	2123_truncated_V2.fna	2169736	0.1953125	0.1953125	0.1953125
58	2140_AC4	1	1	PF00799_PF01492_	2140_AC4.faa	2140_AC4.fna	693892	0.1953125	0.1953125	0.1953125
59	2214_hypothetical_protein	2	2		2214_hypothetical_protein.faa	2214_hypothetical_protein.fna	940846_409287	0.390625	0.390625	0.390625
60	2241_C3	1	1		2241_C3.faa	2241_C3.fna	603333	0.1953125	0.1953125	0.1953125
61	2354_V3	2	2		2354_V3.faa	2354_V3.fna	2060142_2027645	0.390625	0.390625	0.390625
62	2355_V2	1	1		2355_V2.faa	2355_V2.fna	2060142	0.1953125	0.1953125	0.1953125
