#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
UniRef50_A0A1Q9EEX7    -          YP_009664532.1       -            5.3e-59  210.6 245.7   1.4e+02   13.7   2.4  29.2   1   1  31  32  32  32   0 Uncharacterized protein n=1 Tax=Symbiodinium microadriaticum TaxID=2951 RepID=A0A1Q9EEX7_SYMMI
UniRef50_D4JC13        -          YP_009664532.1       -            1.4e-51  186.4  18.5   1.6e-51  186.2  18.5   1.0   1   0   0   1   1   1   1 TraX protein n=6 Tax=Lachnospiraceae TaxID=186803 RepID=D4JC13_9FIRM
UniRef50_UPI00130066AC -          YP_009664532.1       -            1.4e-51  186.4  24.3   1.6e-51  186.2  24.3   1.0   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Vallitalea okinawensis TaxID=2078660 RepID=UPI00130066AC
UniRef50_A0A1C5X3Y8    -          YP_009664532.1       -            2.3e-51  185.7  24.3   2.7e-51  185.5  24.3   1.0   1   0   0   1   1   1   1 Conjugal transfer protein TrbP n=1 Tax=uncultured Roseburia sp. TaxID=512314 RepID=A0A1C5X3Y8_9FIRM
UniRef50_A0A354IB66    -          YP_009664532.1       -            2.7e-51  185.5  20.4   3.8e-51  185.0  20.4   1.2   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Lachnospiraceae bacterium TaxID=1898203 RepID=A0A354IB66_9FIRM
UniRef50_R5RHN3        -          YP_009664532.1       -              3e-51  185.4  18.3   3.5e-51  185.2  18.3   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=5 Tax=Clostridium TaxID=1485 RepID=R5RHN3_9CLOT
UniRef50_A0A542AS19    -          YP_009664532.1       -              3e-51  185.3  22.7   3.5e-51  185.2  22.7   1.0   1   0   0   1   1   1   1 TraX protein n=3 Tax=Eubacteriales TaxID=186802 RepID=A0A542AS19_9CLOT
UniRef50_A0A1Y4KZE7    -          YP_009664532.1       -            3.4e-51  185.2  14.1   3.9e-51  185.0  14.1   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Lachnoclostridium sp. An181 TaxID=1965575 RepID=A0A1Y4KZE7_9FIRM
UniRef50_U2CMK3        -          YP_009664532.1       -            4.4e-51  184.8  21.8   5.3e-51  184.6  21.8   1.1   1   0   0   1   1   1   1 Protein TraX n=12 Tax=Clostridia TaxID=186801 RepID=U2CMK3_9CLOT
UniRef50_A0A371AUR4    -          YP_009664532.1       -            6.2e-51  184.3  22.1   7.8e-51  184.0  22.1   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Anaerosacchriphilus polymeriproducens TaxID=1812858 RepID=A0A371AUR4_9FIRM
UniRef50_A0A7U6QI55    -          YP_009664532.1       -            9.9e-51  183.7  22.0   1.1e-50  183.5  22.0   1.0   1   0   0   1   1   1   1 Conserved membrane protein n=1 Tax=Lachnospiraceae bacterium KM106-2 TaxID=2093742 RepID=A0A7U6QI55_9FIRM
UniRef50_UPI00177FF837 -          YP_009664532.1       -            1.1e-50  183.6  29.8   1.2e-50  183.4  29.8   1.0   1   0   0   1   1   1   1 conjugal transfer protein TraX n=1 Tax=Thermoanaerobacterium thermosaccharolyticum TaxID=1517 RepID=UPI00177FF837
UniRef50_A0A1Q9JW90    -          YP_009664532.1       -            1.1e-50  183.5  18.4   1.3e-50  183.3  18.4   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Eubacteriales TaxID=186802 RepID=A0A1Q9JW90_9FIRM
UniRef50_A0A7X8JR97    -          YP_009664532.1       -            1.3e-50  183.3  25.8   1.5e-50  183.1  25.8   1.0   1   0   0   1   1   1   1 Fimbrial assembly protein n=2 Tax=Epulopiscium sp. TaxID=2384 RepID=A0A7X8JR97_9FIRM
UniRef50_A0A3A8YTH3    -          YP_009664532.1       -            1.7e-50  182.9  18.0   2.1e-50  182.6  18.0   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=unclassified Bacteria TaxID=49928 RepID=A0A3A8YTH3_9BACT
UniRef50_A0A396L1N3    -          YP_009664532.1       -            1.9e-50  182.7  16.2   2.3e-50  182.5  16.2   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=4 Tax=Eubacteriales TaxID=186802 RepID=A0A396L1N3_9FIRM
UniRef50_A0A1M7F3L9    -          YP_009664532.1       -            3.8e-50  181.8  24.9   4.4e-50  181.6  24.9   1.0   1   0   0   1   1   1   1 TraX protein n=2 Tax=Lachnospiraceae TaxID=186803 RepID=A0A1M7F3L9_9FIRM
UniRef50_A0A7R7EMB4    -          YP_009664532.1       -            4.7e-50  181.5  24.4   5.5e-50  181.3  24.4   1.0   1   0   0   1   1   1   1 Fimbrial assembly protein fimC n=1 Tax=Lachnospiraceae bacterium TB5 TaxID=2785025 RepID=A0A7R7EMB4_9FIRM
UniRef50_A0A2N2AXB1    -          YP_009664532.1       -            4.9e-50  181.4  23.8   5.6e-50  181.2  23.8   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=4 Tax=unclassified Firmicutes sensu stricto TaxID=84086 RepID=A0A2N2AXB1_9FIRM
UniRef50_A0A1I0MK69    -          YP_009664532.1       -            1.2e-49  180.1  17.3   1.4e-49  179.9  17.3   1.0   1   0   0   1   1   1   1 TraX protein n=11 Tax=Firmicutes TaxID=1239 RepID=A0A1I0MK69_9FIRM
UniRef50_UPI00143CA4E4 -          YP_009664532.1       -            1.4e-49  179.9  26.2   1.6e-49  179.8  26.2   1.0   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Anaerosporobacter sp. KCTC 15857 TaxID=2718714 RepID=UPI00143CA4E4
UniRef50_S0J1D7        -          YP_009664532.1       -            1.4e-49  179.9  20.0   1.6e-49  179.7  20.0   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=12 Tax=Eubacteriales TaxID=186802 RepID=S0J1D7_9FIRM
UniRef50_R9M877        -          YP_009664532.1       -            1.4e-49  179.9  20.4   1.6e-49  179.7  20.4   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=65 Tax=Clostridia TaxID=186801 RepID=R9M877_9FIRM
UniRef50_R9ISA7        -          YP_009664532.1       -            1.5e-49  179.9  20.7   1.7e-49  179.7  20.7   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Lachnospiraceae TaxID=186803 RepID=R9ISA7_9FIRM
UniRef50_I7J5Y4        -          YP_009664532.1       -            1.5e-49  179.8  22.3   1.8e-49  179.6  22.3   1.0   1   0   0   1   1   1   1 Conserved membrane protein n=6 Tax=Firmicutes TaxID=1239 RepID=I7J5Y4_9CLOT
UniRef50_A0A3C2ELQ7    -          YP_009664532.1       -            1.5e-49  179.8  21.7   1.9e-49  179.5  21.7   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=18 Tax=root TaxID=1 RepID=A0A3C2ELQ7_9FIRM
UniRef50_A0A6S6R9Z4    -          YP_009664532.1       -            1.7e-49  179.7  25.8   1.9e-49  179.5  25.8   1.0   1   0   0   1   1   1   1 Fimbrial assembly protein fimC n=5 Tax=Terrabacteria group TaxID=1783272 RepID=A0A6S6R9Z4_9FIRM
UniRef50_A0A3D5TD60    -          YP_009664532.1       -            1.7e-49  179.7   9.7   1.9e-49  179.5   9.7   1.0   1   0   0   1   1   1   1 Conjugal transfer protein TraX n=2 Tax=unclassified Oscillibacter TaxID=2629304 RepID=A0A3D5TD60_9FIRM
UniRef50_A0A0K8J6X3    -          YP_009664532.1       -              2e-49  179.4  24.0   2.4e-49  179.2  24.0   1.0   1   0   0   1   1   1   1 Putative membrane protein n=6 Tax=Eubacteriales TaxID=186802 RepID=A0A0K8J6X3_9FIRM
UniRef50_A0A037ZAG7    -          YP_009664532.1       -            2.1e-49  179.4  22.3   2.4e-49  179.2  22.3   1.0   1   0   0   1   1   1   1 Putative TraX family protein n=5 Tax=Clostridium TaxID=1485 RepID=A0A037ZAG7_CLOTT
UniRef50_R9KRV5        -          YP_009664532.1       -            2.2e-49  179.3  16.1   2.5e-49  179.1  16.1   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Clostridia TaxID=186801 RepID=R9KRV5_9FIRM
UniRef50_A0A0C1TY96    -          YP_009664532.1       -            2.2e-49  179.3  28.0   2.6e-49  179.1  28.0   1.0   1   0   0   1   1   1   1 TraX family protein n=8 Tax=root TaxID=1 RepID=A0A0C1TY96_9CLOT
UniRef50_A0A2R3MX66    -          YP_009664532.1       -            2.3e-49  179.2  24.4   2.7e-49  179.0  24.4   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=3 Tax=Eubacteriales TaxID=186802 RepID=A0A2R3MX66_9FIRM
UniRef50_R6E522        -          YP_009664532.1       -            3.5e-49  178.6  20.1   4.1e-49  178.4  20.1   1.1   1   0   0   1   1   1   1 Protein TraX n=3 Tax=Firmicutes TaxID=1239 RepID=R6E522_9FIRM
UniRef50_A0A7W8M644    -          YP_009664532.1       -            3.7e-49  178.6  23.0   4.2e-49  178.4  23.0   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Catenibacillus scindens TaxID=673271 RepID=A0A7W8M644_9FIRM
UniRef50_A0A3A9G548    -          YP_009664532.1       -              6e-49  177.9  26.9     7e-49  177.7  26.9   1.0   1   0   0   1   1   1   1 Conjugal transfer protein TraX n=3 Tax=unclassified Roseburia TaxID=2637578 RepID=A0A3A9G548_9FIRM
UniRef50_R6CZB2        -          YP_009664532.1       -            6.4e-49  177.8  13.9   7.3e-49  177.6  13.9   1.0   1   0   0   1   1   1   1 Protein TraX n=2 Tax=Firmicutes TaxID=1239 RepID=R6CZB2_9FIRM
UniRef50_A0A1B1YHV2    -          YP_009664532.1       -            6.7e-49  177.7  18.7     8e-49  177.5  18.7   1.1   1   0   0   1   1   1   1 TraX family protein n=6 Tax=Eubacteriales TaxID=186802 RepID=A0A1B1YHV2_THEST
UniRef50_A0A3C0XZ71    -          YP_009664532.1       -            9.6e-49  177.2  18.2   1.1e-48  177.0  18.2   1.0   1   0   0   1   1   1   1 TraX protein n=4 Tax=Lachnospiraceae bacterium TaxID=1898203 RepID=A0A3C0XZ71_9FIRM
UniRef50_R7IXX9        -          YP_009664532.1       -            1.2e-48  176.9  17.5   1.4e-48  176.7  17.5   1.0   1   0   0   1   1   1   1 TraX protein n=1 Tax=Roseburia sp. CAG:303 TaxID=1262944 RepID=R7IXX9_9FIRM
UniRef50_A0A0B5B022    -          YP_009664532.1       -            2.7e-48  175.7  24.4   3.2e-48  175.5  24.4   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Jeotgalibacillus malaysiensis TaxID=1508404 RepID=A0A0B5B022_9BACL
UniRef50_A8SRW3        -          YP_009664532.1       -            2.7e-48  175.7  16.1   3.9e-48  175.2  16.1   1.2   1   0   0   1   1   1   1 Protein TraX n=33 Tax=Eubacteriales TaxID=186802 RepID=A8SRW3_9FIRM
UniRef50_A0A1J0GGM1    -          YP_009664532.1       -            2.9e-48  175.6  23.3   7.2e-48  174.4  23.3   1.6   1   1   0   1   1   1   1 Uncharacterized protein n=5 Tax=Clostridium estertheticum TaxID=238834 RepID=A0A1J0GGM1_9CLOT
UniRef50_V7I2F8        -          YP_009664532.1       -            3.4e-48  175.4  18.9   3.8e-48  175.2  18.9   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=10 Tax=Clostridiaceae TaxID=31979 RepID=V7I2F8_9CLOT
UniRef50_A0A7C6NAV4    -          YP_009664532.1       -            3.7e-48  175.3  22.1   4.3e-48  175.1  22.1   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Clostridiales bacterium TaxID=1898207 RepID=A0A7C6NAV4_9FIRM
UniRef50_A0A1H8BR94    -          YP_009664532.1       -              4e-48  175.2  26.1   4.6e-48  175.0  26.1   1.0   1   0   0   1   1   1   1 TraX protein n=4 Tax=Bacteria TaxID=2 RepID=A0A1H8BR94_9FIRM
UniRef50_A0A3C1WRF4    -          YP_009664532.1       -            4.9e-48  174.9  11.0   5.9e-48  174.6  11.0   1.1   1   0   0   1   1   1   1 Conjugal transfer protein TraX n=3 Tax=Lachnospiraceae TaxID=186803 RepID=A0A3C1WRF4_9FIRM
UniRef50_R5K273        -          YP_009664532.1       -            5.3e-48  174.8  16.0   7.1e-48  174.4  16.0   1.2   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Clostridium sp. CAG:632 TaxID=1262830 RepID=R5K273_9CLOT
UniRef50_A0A357WRQ3    -          YP_009664532.1       -            5.9e-48  174.6  25.5   7.1e-48  174.4  25.5   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Oscillospiraceae bacterium TaxID=2485925 RepID=A0A357WRQ3_9FIRM
UniRef50_A0A7X7GZG2    -          YP_009664532.1       -            9.3e-48  174.0  32.3   1.1e-47  173.8  32.3   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Bacilli bacterium TaxID=1903720 RepID=A0A7X7GZG2_9FIRM
UniRef50_R6H029        -          YP_009664532.1       -            1.1e-47  173.7  12.1   1.3e-47  173.6  12.1   1.0   1   0   0   1   1   1   1 TraX protein n=2 Tax=Firmicutes TaxID=1239 RepID=R6H029_9FIRM
UniRef50_A0A1I5GFI5    -          YP_009664532.1       -            1.1e-47  173.7  20.2   1.3e-47  173.5  20.2   1.0   1   0   0   1   1   1   1 TraX protein n=2 Tax=Anaerocolumna aminovalerica TaxID=1527 RepID=A0A1I5GFI5_9FIRM
UniRef50_A0A1Y4EZW3    -          YP_009664532.1       -            1.3e-47  173.5  11.2   1.5e-47  173.4  11.2   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=6 Tax=Eubacteriales TaxID=186802 RepID=A0A1Y4EZW3_9FIRM
UniRef50_A0A2T6EVJ3    -          YP_009664532.1       -            2.1e-47  172.8  32.0   2.1e-47  172.8  32.0   1.5   2   0   0   2   2   1   1 Uncharacterized protein n=2 Tax=Bacillus sporothermodurans TaxID=46224 RepID=A0A2T6EVJ3_9BACI
UniRef50_UPI0015E1B75B -          YP_009664532.1       -            2.2e-47  172.8  19.6   2.4e-47  172.6  19.6   1.0   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Campylobacter concisus TaxID=199 RepID=UPI0015E1B75B
UniRef50_A0A3D3Y0M6    -          YP_009664532.1       -            2.3e-47  172.7  23.2   2.6e-47  172.5  23.2   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Oscillospiraceae bacterium TaxID=2485925 RepID=A0A3D3Y0M6_9FIRM
UniRef50_UPI0008F81A97 -          YP_009664532.1       -            2.5e-47  172.6  11.2   2.9e-47  172.4  11.2   1.0   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Angelakisella massiliensis TaxID=1871018 RepID=UPI0008F81A97
UniRef50_UPI00174E9AA4 -          YP_009664532.1       -            2.6e-47  172.5  13.9     3e-47  172.4  13.9   1.0   1   0   0   1   1   1   1 hypothetical protein n=3 Tax=Candidatus Heritagella TaxID=2721100 RepID=UPI00174E9AA4
UniRef50_A0A1C6IXA4    -          YP_009664532.1       -              3e-47  172.3  23.9   5.3e-47  171.5  23.9   1.4   1   1   0   1   1   1   1 Conjugal transfer protein TrbP n=1 Tax=uncultured Eubacterium sp. TaxID=165185 RepID=A0A1C6IXA4_9FIRM
UniRef50_A0A2N5ICE6    -          YP_009664532.1       -            3.7e-47  172.0  27.1   4.4e-47  171.8  27.1   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Bacillus sp. M6-12 TaxID=2054166 RepID=A0A2N5ICE6_9BACI
UniRef50_A0A348N6C6    -          YP_009664532.1       -            5.2e-47  171.6  30.9     6e-47  171.4  30.9   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Lachnospiraceae bacterium TaxID=1898203 RepID=A0A348N6C6_9FIRM
UniRef50_A0A2J0MRF3    -          YP_009664532.1       -            7.1e-47  171.1  23.5   8.2e-47  170.9  23.5   1.0   1   0   0   1   1   1   1 Conjugal transfer protein TraX n=1 Tax=Candidatus Moranbacteria bacterium CG_4_9_14_3_um_filter_42_9 TaxID=1974665 RepID=A0A2J0MRF3_9BACT
UniRef50_R7MZB7        -          YP_009664532.1       -            7.9e-47  171.0  22.1   7.9e-47  171.0  22.1   1.6   2   0   0   2   2   1   1 TraX protein n=235 Tax=cellular organisms TaxID=131567 RepID=R7MZB7_9FIRM
UniRef50_U2FPR9        -          YP_009664532.1       -            9.4e-47  170.7  21.4   1.1e-46  170.5  21.4   1.1   1   0   0   1   1   1   1 Putative F pilin acetylation protein n=2 Tax=Terrabacteria group TaxID=1783272 RepID=U2FPR9_9MOLU
UniRef50_UPI001A9F8DF5 -          YP_009664532.1       -            1.3e-46  170.2  27.4   1.6e-46  170.0  27.4   1.0   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Polaribacter sp. G4M1 TaxID=2808900 RepID=UPI001A9F8DF5
UniRef50_A0A1V4WX74    -          YP_009664532.1       -            1.4e-46  170.2  20.1   1.7e-46  169.9  20.1   1.1   1   0   0   1   1   1   1 TraX protein n=2 Tax=unclassified Syntrophorhabdus TaxID=2628565 RepID=A0A1V4WX74_9DELT
UniRef50_A0A1C7GNK1    -          YP_009664532.1       -            1.6e-46  170.0  20.5   1.8e-46  169.8  20.5   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Oscillospiraceae TaxID=216572 RepID=A0A1C7GNK1_9FIRM
UniRef50_R7HWZ9        -          YP_009664532.1       -            1.6e-46  170.0  14.2   4.9e-46  168.4  14.2   1.6   1   1   0   1   1   1   1 Uncharacterized protein n=2 Tax=environmental samples TaxID=59619 RepID=R7HWZ9_9CLOT
UniRef50_A0A1I6KRV8    -          YP_009664532.1       -            2.1e-46  169.5  33.9   1.3e-27  108.3  18.5   2.0   1   1   1   2   2   2   2 TraX protein n=3 Tax=[Clostridium] populeti TaxID=37658 RepID=A0A1I6KRV8_9FIRM
UniRef50_A0A2H0DZ87    -          YP_009664532.1       -            2.3e-46  169.4  28.5   2.7e-46  169.2  28.5   1.0   1   0   0   1   1   1   1 Conjugal transfer protein TraX n=1 Tax=Candidatus Campbellbacteria bacterium CG22_combo_CG10-13_8_21_14_all_36_13 TaxID=1974529 RepID=A0A2H0DZ87_9BACT
UniRef50_A0A1H6W6F2    -          YP_009664532.1       -            2.7e-46  169.2  18.3   7.1e-46  167.8  18.3   1.6   1   1   0   1   1   1   1 TraX protein n=3 Tax=Lachnospiraceae TaxID=186803 RepID=A0A1H6W6F2_9FIRM
UniRef50_A0A3C1LW03    -          YP_009664532.1       -              3e-46  169.0  20.9   4.1e-46  168.6  20.9   1.2   1   0   0   1   1   1   1 Fe/B12 periplasmic-binding domain-containing protein n=1 Tax=Oscillospiraceae bacterium TaxID=2485925 RepID=A0A3C1LW03_9FIRM
UniRef50_A0A6M1NQ82    -          YP_009664532.1       -            3.1e-46  169.0  19.2     4e-46  168.7  19.2   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=4 Tax=Sphingobacterium TaxID=28453 RepID=A0A6M1NQ82_9SPHI
UniRef50_R7R8A9        -          YP_009664532.1       -            3.6e-46  168.8  14.0   4.2e-46  168.6  14.0   1.0   1   0   0   1   1   1   1 TraX protein n=3 Tax=Lachnospiraceae TaxID=186803 RepID=R7R8A9_9FIRM
UniRef50_A0A174TPB6    -          YP_009664532.1       -            4.1e-46  168.6  24.9   4.8e-46  168.4  24.9   1.0   1   0   0   1   1   1   1 Conjugal transfer protein TrbP n=1 Tax=Blautia wexlerae TaxID=418240 RepID=A0A174TPB6_9FIRM
UniRef50_A0A0J1I9Y7    -          YP_009664532.1       -            4.1e-46  168.6  13.2   4.6e-46  168.5  13.2   1.0   1   0   0   1   1   1   1 TraX protein n=1 Tax=Peptococcaceae bacterium CEB3 TaxID=999898 RepID=A0A0J1I9Y7_9FIRM
UniRef50_A0A3A9CMJ4    -          YP_009664532.1       -            4.5e-46  168.5  20.0   6.2e-46  168.0  19.9   1.3   1   1   0   1   1   1   1 Conjugal transfer protein TraX n=1 Tax=bacterium C-53 TaxID=2320109 RepID=A0A3A9CMJ4_9BACT
UniRef50_A0A0F2QEK9    -          YP_009664532.1       -            4.6e-46  168.5  25.4   5.2e-46  168.3  25.4   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=2 Tax=Clostridia TaxID=186801 RepID=A0A0F2QEK9_9CLOT
UniRef50_A0A1V5RAY3    -          YP_009664532.1       -            4.7e-46  168.4  29.9   5.5e-46  168.2  29.9   1.1   1   0   0   1   1   1   1 TraX protein n=1 Tax=Parcubacteria group bacterium ADurb.Bin316 TaxID=1852942 RepID=A0A1V5RAY3_9BACT
UniRef50_A0A410PN85    -          YP_009664532.1       -            7.1e-46  167.9  26.9   8.1e-46  167.7  26.9   1.0   1   0   0   1   1   1   1 Conjugal transfer protein TraX n=1 Tax=Clostridium sp. JN-9 TaxID=2507159 RepID=A0A410PN85_9CLOT
UniRef50_A0A2U0RV69    -          YP_009664532.1       -            7.2e-46  167.8  26.3   9.2e-46  167.5  26.3   1.1   1   0   0   1   1   1   1 Fimbrial assembly protein n=5 Tax=Candidatus Bathyarchaeota TaxID=928852 RepID=A0A2U0RV69_9ARCH
UniRef50_A0A7G9G312    -          YP_009664532.1       -            7.3e-46  167.8  19.9   9.3e-46  167.5  19.9   1.1   1   0   0   1   1   1   1 Uncharacterized protein n=3 Tax=Clostridia TaxID=186801 RepID=A0A7G9G312_9FIRM
UniRef50_A0A316PTR6    -          YP_009664532.1       -            7.6e-46  167.8  12.9   8.8e-46  167.5  12.9   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Clostridiales bacterium TaxID=1898207 RepID=A0A316PTR6_9FIRM
UniRef50_A0A174EG26    -          YP_009664532.1       -            7.8e-46  167.7  23.2     1e-45  167.3  23.2   1.2   1   0   0   1   1   1   1 Conjugal transfer protein TrbP n=26 Tax=Eubacteriales TaxID=186802 RepID=A0A174EG26_9FIRM
UniRef50_U2R7S6        -          YP_009664532.1       -            8.5e-46  167.6  16.0   1.1e-45  167.3  16.0   1.1   1   0   0   1   1   1   1 Protein TraX n=8 Tax=Eubacteriales TaxID=186802 RepID=U2R7S6_EUBRA
UniRef50_A0A0N8NSL6    -          YP_009664532.1       -            8.8e-46  167.5  31.6     1e-45  167.4  31.6   1.0   1   0   0   1   1   1   1 TraX protein n=2 Tax=Oxobacter pfennigii TaxID=36849 RepID=A0A0N8NSL6_9CLOT
UniRef50_A0A398D350    -          YP_009664532.1       -            9.3e-46  167.5  19.2   1.1e-45  167.3  19.2   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=6 Tax=Candidatus Cryosericum TaxID=2498709 RepID=A0A398D350_9BACT
UniRef50_R7KCL2        -          YP_009664532.1       -            1.1e-45  167.2  29.3   1.3e-45  167.0  29.3   1.0   1   0   0   1   1   1   1 Uncharacterized protein n=1 Tax=Clostridium sp. CAG:451 TaxID=1262809 RepID=R7KCL2_9CLOT
UniRef50_A5Z378        -          YP_009664532.1       -            1.2e-45  167.2  22.1   1.4e-45  166.9  22.1   1.1   1   0   0   1   1   1   1 Protein TraX n=11 Tax=Eubacterium TaxID=1730 RepID=A5Z378_9FIRM
UniRef50_UPI000784D8C4 -          YP_009664532.1       -            1.2e-45  167.1  31.3   1.4e-45  166.9  31.3   1.0   1   0   0   1   1   1   1 hypothetical protein n=1 Tax=Bacillales TaxID=1385 RepID=UPI000784D8C4
UniRef50_A0A4R2T7S3    -          YP_009664532.1       -            1.3e-45  167.0  32.5   1.5e-45  166.8  32.5   1.0   1   0   0   1   1   1   1 TraX protein n=1 Tax=Serpentinicella alkaliphila TaxID=1734049 RepID=A0A4R2T7S3_9CLOT
UniRef50_A0A174LNE8    -          YP_009664532.1       -            1.5e-45  166.8  20.4   4.2e-45  165.3  20.4   1.6   1   1   0   1   1   1   1 TraX n=40 Tax=root TaxID=1 RepID=A0A174LNE8_9CLOT
