"","1_beta_C1","34_beta_V1","35_beta_C1","78_c1"
"1506157",FALSE,FALSE,FALSE,FALSE
"1705091",FALSE,FALSE,FALSE,FALSE
"488255",FALSE,FALSE,FALSE,FALSE
"339965",FALSE,FALSE,FALSE,FALSE
"1461792",FALSE,FALSE,FALSE,FALSE
"377463",FALSE,FALSE,FALSE,FALSE
"221036",FALSE,FALSE,FALSE,FALSE
"1246849",FALSE,FALSE,FALSE,FALSE
"377611",FALSE,FALSE,FALSE,FALSE
"360580",FALSE,FALSE,FALSE,FALSE
"447600",FALSE,FALSE,FALSE,FALSE
"2049883",FALSE,FALSE,FALSE,FALSE
"1507403",FALSE,FALSE,FALSE,FALSE
"1238162",FALSE,FALSE,FALSE,FALSE
"908277",FALSE,FALSE,FALSE,FALSE
"756759",FALSE,FALSE,FALSE,FALSE
"454128",FALSE,FALSE,FALSE,FALSE
"2010323",FALSE,FALSE,FALSE,FALSE
"169693",FALSE,FALSE,FALSE,FALSE
"714640",FALSE,FALSE,FALSE,FALSE
"1036255",FALSE,FALSE,FALSE,FALSE
"1507984",FALSE,FALSE,FALSE,FALSE
"1931113",FALSE,FALSE,FALSE,FALSE
"436242",FALSE,FALSE,FALSE,FALSE
"519016",FALSE,FALSE,FALSE,FALSE
"410826",FALSE,FALSE,FALSE,FALSE
"662596",FALSE,FALSE,FALSE,FALSE
"2010325",FALSE,FALSE,FALSE,FALSE
"875325",FALSE,FALSE,FALSE,FALSE
"337824",FALSE,FALSE,FALSE,FALSE
"291270",FALSE,FALSE,FALSE,FALSE
"447602",FALSE,FALSE,FALSE,FALSE
"326489",FALSE,FALSE,FALSE,FALSE
"1418029",FALSE,FALSE,FALSE,FALSE
"393034",FALSE,FALSE,FALSE,FALSE
"219596",FALSE,FALSE,FALSE,FALSE
"1213187",FALSE,FALSE,FALSE,FALSE
"587314",FALSE,FALSE,FALSE,FALSE
"169691",FALSE,FALSE,FALSE,FALSE
"2010326",FALSE,FALSE,FALSE,FALSE
"2010327",FALSE,FALSE,FALSE,FALSE
"218845",FALSE,FALSE,FALSE,FALSE
"234829",FALSE,FALSE,FALSE,FALSE
"2010331",FALSE,FALSE,FALSE,FALSE
"486898",FALSE,FALSE,FALSE,FALSE
"885379",FALSE,FALSE,FALSE,FALSE
"220812",FALSE,FALSE,FALSE,FALSE
"278069",FALSE,FALSE,FALSE,FALSE
"1384632",FALSE,FALSE,FALSE,FALSE
"1231334",FALSE,FALSE,FALSE,FALSE
"263578",FALSE,FALSE,FALSE,FALSE
"1000690",FALSE,FALSE,FALSE,FALSE
"436243",FALSE,FALSE,FALSE,FALSE
"1397670",FALSE,FALSE,FALSE,FALSE
"2010332",FALSE,FALSE,FALSE,FALSE
"2010333",FALSE,FALSE,FALSE,FALSE
"2049892",FALSE,FALSE,FALSE,FALSE
"2031200",FALSE,FALSE,FALSE,FALSE
"478812",FALSE,FALSE,FALSE,FALSE
"1609290",FALSE,FALSE,FALSE,FALSE
"575918",FALSE,FALSE,FALSE,FALSE
"2173168",FALSE,FALSE,FALSE,FALSE
"929051",FALSE,FALSE,FALSE,FALSE
"315392",FALSE,FALSE,FALSE,FALSE
"1176156",FALSE,FALSE,FALSE,FALSE
"2203894",FALSE,FALSE,FALSE,FALSE
"427315",FALSE,FALSE,FALSE,FALSE
"391090",FALSE,FALSE,FALSE,FALSE
"1255765",FALSE,FALSE,FALSE,FALSE
"2083207",FALSE,FALSE,FALSE,FALSE
"2040662",FALSE,FALSE,FALSE,FALSE
"693897",FALSE,FALSE,FALSE,FALSE
"447604",FALSE,FALSE,FALSE,FALSE
"2033721",FALSE,FALSE,FALSE,FALSE
"366686",FALSE,FALSE,FALSE,FALSE
"1925152",FALSE,FALSE,FALSE,FALSE
"666635",FALSE,FALSE,FALSE,FALSE
"2050589",FALSE,FALSE,FALSE,FALSE
"220813",FALSE,FALSE,FALSE,FALSE
